,song_name,word_list
10,Sacramentum:Unaccompanied Hymn for Torino,"[[], [], ['ego'], ['tea'], [], ['tes'], ['ego'], [], ['ego'], [], [], ['ego'], ['tea'], [], [], ['La'], [], ['le'], ['He', 'ego'], ['le'], ['He', 'ego'], [], [], [], [], [], [], ['ley'], [], ['ley'], ['fortuna'], [], [], ['recce', 'ves'], [], [], ['Ves'], [], ['ley'], [], ['ley'], ['fortuna'], [], [], [], [], [], [], [], ['le'], ['He', 'ego'], ['le'], ['He', 'ego'], [], [], [], []]"
11,Ephemeral,[]
12,Imagined Flight,"[[], [], [], ['Dream', 'inside', 'another', 'dream'], ['Loon', 'loon'], ['Good', 'morning'], ['clockwork', 'mainspring'], ['Unite', 'one'], ['good'], [], ['Under', 'sky', 'belong'], ['Accept', 'comply'], ['Limitations', 'life'], [], ['Defying', 'gravity'], ['Launch', 'universe'], ['At', 'escape', 'velocity'], ['Over'], ['dream', 'I', 'see'], ['Loon', 'loon'], [], ['Swing', 'debris', 'waste'], ['Float', 'nonstop'], ['Explore'], ['ta', 'loon', 'ta', 'loon'], [], ['Starting', 'thousands', 'light', 'years', 'ago'], ['building', 'air', 'castles'], ['Arcturus', 'Spica', 'Caroli', 'Denebola'], ['diamond', 'ring'], ['Outer', 'space', 'ceremony'], ['Know', 'love', 'present'], ['Even', 'I'], ['ring'], ['I', 'wed'], ['I', 'give'], ['day', 'forever', 'done'], ['bells', 'go'], ['Ring'], [], ['Repress'], ['Manipulate'], ['Dominate'], ['Now'], ['Imagine', 'fly'], ['Take', 'universes', 'control'], ['Imagine', 'fight'], ['Imagine', 'alive'], ['Imagine'], [], [], [], ['Though', 'fly'], ['take', 'universes', 'control'], ['fight'], ['Imagine', 'fly'], ['Imagine', 'fly'], [], ['Les'], ['Cere'], ['le'], ['Cere']]"
13,Fable,[]
14,Rosetta,"[['little', 'angel'], ['Follow', 'follow'], ['great', 'discoveries'], ['Find', 'future'], ['Find', 'land', 'dreams'], ['Find', 'heaven'], ['Find', 'home', 'leave'], ['No', 'matter', 'long', 'lost'], ['Pursuit', 'pursuit'], ['Do', 'ever', 'give'], [], [], ['everywhere', 'betray', 'innocent', 'heart'], ['All'], ['All'], ['Soon', 'rotten'], ['Vile', 'vile'], ['Shield'], ['Mind', 'words'], ['Do', 'let', 'corrupt'], [], ['Run', 'Run'], ['Darling'], ['Search', 'search'], ['Do', 'look', 'back'], ['It', 'belong'], [], ['us'], ['Just', 'I'], [], ['Just', 'I'], ['Not', 'thing', 'us'], ['Just', 'I'], [], ['Just', 'I'], [], ['Lonely', 'lonely'], ['Come', 'back'], [], ['nowhere', 'nothing', 'take'], ['Nobody', 'nobody', 'nobody', 'ever'], ['Nobody', 'nobody', 'nobody']]"
15,Maroma Samsa,[]
16,Witch's Invitation,"[['Things', 'turned', 'right'], ['died', 'survived'], ['Witch', 'reconstruction'], ['Improvement'], ['Extension'], ['Progressive', 'evolution'], [], ['Lovely', 'diversion'], [], ['Thousand', 'pixies', 'fly'], ['Dancing', 'golden', 'sky'], [], ['Rise', 'bed'], ['ones', 'sacrificed'], ['ones', 'never', 'cried'], ['ones', 'died'], ['ones', 'alive'], ['Tonight'], [], [], [], ['Set', 'free'], ['Yesterday', 'already', 'history'], ['Paint', 'future', 'story', 'trees'], ['I', 'able', 'walk', 'misery'], ['Plastic', 'eyes', 'let', 'see'], ['day', 'finally', 'meet'], ['Logic', 'theory', 'philosophy'], ['humanity'], [], ['Listen', 'chanting', 'rain'], ['Embrace', 'petrified', 'river', 'pain'], ['Take', 'walk', 'around', 'edge', 'ocean', 'vein'], ['Soak', 'warmth', 'domain'], [], ['world', 'seen', 'dream', 'continues', 'around', 'round', 'round'], ['A', 'flake', 'peeled', 'hugging', 'arm'], [], ['Pop', 'plop', 'flop', 'toss'], ['Hop', 'drop', 'slop', 'waltz'], [], [], [], [], ['Purple-black', 'tea'], ['Spilled', 'memories'], ['Poison', 'cookies'], ['Witch', 'enemy'], ['Humbly', 'gradually', 'frivolously', 'thoughtlessly'], [], ['Butter', 'pancakes', 'coated', 'candied', 'blueberries'], ['Mango', 'yogurt', 'sprinkled', 'marshmallow', 'jelly'], [], ['Not', 'death', 'us', 'part'], ['Forbidden', 'plastic', 'heart', 'supported', 'far'], ['Not', 'death', 'us', 'part'], ['Followed', 'another', 'restart'], ['Restart'], ['Restart']]"
17,Red Dahlia,"[['Think', 'I', 'got', 'fever'], [], ['Why', 'doctor', 'make', 'feel', 'worse'], ['touch', 'raises', 'pressure'], [], ['Blooms', 'blooms'], ['seed', 'left', 'inside'], ['It', 'blooms', 'need', 'air', 'sunlight'], ['It', 'blooms', 'blood', 'stays', 'alive'], ['It', 'blooms', 'blooms', 'blooms'], [], ['soil', 'spread'], ['Before', 'eyes'], ['Look'], ['Do', 'see'], ['dahlia', 'flowered'], [], ['Blooms', 'blooms'], ['secret', 'garden', 'serenades'], ['Germinates'], ['Florets', 'turn', 'bright', 'red'], [], [], ['Smile', 'smile', 'endlessly'], [], ['Separate', 'half'], ['So', 'doctor', 'stitch', 'back'], ['Separate', 'half'], ['Prosper', 'dear', 'dahlia'], [], ['Blooms', 'blooms'], ['dahlia', 'blooms'], ['It', 'blooms', 'blooms'], ['dahlia', 'withers', 'droops'], ['Then', 'blooms', 'blooms'], ['Forever', 'blooms'], ['dies'], ['blooms'], ['Silently', 'blooms']]"
18,Ga1ahad and Scientific Witchery,"[['magical', 'potion'], [], ['Bittersweet', 'cranberry', 'flavored', 'euphoria'], ['Witch'], ['Rise', 'bed', 'darling'], ['Both'], ['So', 'I', 'see'], ['So', 'I', 'kill'], [], [], ['brains', 'accelerate'], ['Witch'], ['I'], ['Both'], ['Reassemble'], [], [], ['witches', 'ca', 'loved'], ['So', 'bravely', 'I', 'fought'], ['fell', 'failed'], ['Lady', 'wilt'], [], ['Witch'], ['ta'], [], ['ta'], [], [], ['Witch'], ['Poisoned', 'sandwich', 'tea', 'party', 'starts'], ['Eat', 'lucky', 'rot'], [], ['Eat', 'turn', 'eat', 'till', 'drop'], ['Witch'], ['Eat', 'maybe', 'time', 'caught'], [], ['Eat', 'fill', 'stomach', 'till', 'pops'], ['Both'], ['Eat', 'eat', 'eat'], ['poison'], [], [], ['I', 'cleared', 'mountains', 'dungeons'], ['Iron', 'maiden', 'Lady', 'spoken'], ['never', 'collapse'], ['So', 'I', 'charged', 'lasers'], [], ['Witch'], [], ['makes', 'bones', 'stronger', 'steel'], [], ['backs', 'thoughts', 'cloud'], [], ['Witch'], ['Truth', 'false', 'logic', 'dictates'], ['Rising', 'edge', 'ticks', 'clock'], ['Stimulates', 'flip', 'flop'], ['Generate', 'oscillate', 'let', 'blood', 'fill', 'gates'], ['Multiplex', 'process', 'registration'], [], ['Witch'], ['Wipe', 'pus', 'grind', 'vitamins'], ['end', 'justifies', 'means'], ['Open', 'book', 'turn', 'page'], ['Scientific', 'Witchery'], [], [], ['Someday', 'I', 'conquer', 'land', 'slayed'], ['Witch'], ['Blast', 'away', 'blast', 'away'], ['Do', 'like', 'new', 'upgrade'], [], ['I', 'appreciate', 'thoughts'], ['But', 'given', 'much', 'tolerate'], ['Witch'], ['I', 'done', 'much', 'treat', 'way'], [], ['Both'], ['No', 'forgiveness', 'endless', 'love'], ['goddess', 'never', 'looked'], [], [], ['Finally', 'wounds', 'closed'], ['Witch'], ['wounds', 'closed'], [], ['Turned'], ['Both'], ['Purple', 'scabs'], [], ['Both'], ['Kiss'], ['Tenderly'], ['Gently'], ['Violently'], [], ['Witch'], ['There', 'undo'], ['repeat'], [], ['Ca', 'go', 'back'], ['used'], ['Both'], ['There', 'restart'], ['But', 'proceed'], ['Take'], ['left', 'see']]"
19,RTRT,"[['secret', 'laboratory'], ['Spiky', 'spiky', 'bloody', 'fangs'], ['hungry', 'qi'], [], ['Hold', 'mister', 'Right', 'mister'], ['Sit', 'mister', 'retort'], ['pouch', 'curry', 'pouch', 'chili'], ['pouch', 'rather', 'picky'], [], ['Well', 'I', 'make'], ['Do', 'need', 'show'], ['I', 'mad', 'scientist', 'proclaimed'], ['Canto', 'sichuan'], ['hunan'], ['No', 'matter', 'one', 'pick', 'I', 'get', 'done'], [], [], ['Wonton'], ['Delivery', 'takeout', 'beat', 'retort', 'pouch'], ['loving', 'retort'], ['I', 'loving', 'retort'], ['retort', 'retort'], [], [], [], [], [], ['Yi', 'yi'], ['Yi', 'er', 'yi'], ['Yi', 'er', 'si', 'wu', 'qi'], [], [], [], [], [], ['Yi', 'yi'], ['Yi', 'er', 'yi'], ['Yi', 'er', 'si', 'wu', 'qi'], [], ['Crack', 'crack', 'stretch', 'arms'], ['asking', 'hug'], ['Hidden', 'talisman'], ['practiced', 'smile'], [], ['Come', 'mister', 'Help', 'mister'], ['Right', 'mister', 'took', 'spoon'], ['Stirring', 'curry', 'stirring', 'chili'], ['I', 'realized', 'became', 'family'], [], ['Then', 'came', 'man', 'black', 'white'], ['He', 'holding', 'laser', 'guns', 'signs'], ['Then', 'aimed', 'slimy', 'skin'], ['pulled', 'trigger'], ['head', 'bursts'], [], ['I', 'stitch', 'back'], ['Do', 'need', 'show'], ['I', 'mad', 'scientist', 'proclaimed'], ['I', 'give', 'plastic', 'eyes'], ['give', 'nylon', 'hair'], ['I', 'make', 'sure', 'I', 'get', 'talisman', 'repaired'], [], ['Shark', 'fin', 'soup', 'dim', 'sum'], ['Dumpling', 'Peking', 'duck'], ['Nothing', 'I', 'make', 'na', 'bring', 'charm', 'inside', 'back'], ['But', 'still', 'retort'], ['But', 'still', 'retort'], ['I', 'seeking', 'retort', 'I', 'seeking', 'retort']]"
